uid,n_hit,alphaHmul2010,alphaHmul2019,chi,epsilonHmul2010,epsilonHmul2019,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiHmul2010,phiHmul2019,phiS,pR,pT,rho,sageA15,sigma,theta,thetamul,trmul,zeta
e770b3c53a76e4e1f248cd58052c468a,24,0.24038833,0.194069522,0.155517456,0.267157338,0.614327295,0.749701279,0.88624643,0.963454868,0.945518355,0.404302389,0.191145659,1.516791415,0.135424601,0.006545335,0.056204694,0.0032445,0.975578175,0.264854626,2.328729529,1.659268662,0.044345674,0.617863405,0.000695358,0.012482329,0.510932801,0.001106138,0.109944547,32.96343798,1.314471576,1.79370705
7a99d4e300d43fd2eee8d1d20847666c,24,0.187871501,0.139307528,0.150134462,0.322919258,0.698427655,0.749670334,0.927628036,0.958214732,0.932115143,0.396009889,0.188991498,1.541943455,0.133483577,0.006695587,0.056927514,0.003048648,0.960862531,0.279351218,2.313938539,1.597300015,0.044515819,0.617111798,0.00068205,0.013245988,0.50147429,0.001126967,0.109291328,31.53178253,1.291844108,1.65629086
7a99d4e300d43fd2eee8d1d20847666c,24,0.187871501,0.139307528,0.150134462,0.322919258,0.698427655,0.749670334,0.927628036,0.958214732,0.932115143,0.396009889,0.188991498,1.541943455,0.133483577,0.006695587,0.056927514,0.003048648,0.960862531,0.279351218,2.313938539,1.597300015,0.044515819,0.617111798,0.00068205,0.013245988,0.50147429,0.001126967,0.109291328,31.53178253,1.291844108,1.65629086
7a99d4e300d43fd2eee8d1d20847666c,24,0.187871501,0.139307528,0.150134462,0.322919258,0.698427655,0.749670334,0.927628036,0.958214732,0.932115143,0.396009889,0.188991498,1.541943455,0.133483577,0.006695587,0.056927514,0.003048648,0.960862531,0.279351218,2.313938539,1.597300015,0.044515819,0.617111798,0.00068205,0.013245988,0.50147429,0.001126967,0.109291328,31.53178253,1.291844108,1.65629086
2a5e15d0c34fc6ae945e124a724f6a61,24,0.236321342,0.246148236,0.154137166,0.323879243,0.6452957,0.793251667,0.859108324,0.95272201,0.979889523,0.420143914,0.199932772,1.519958527,0.136110901,0.006657087,0.057116895,0.004155408,0.992726819,0.26613736,2.367682124,1.57906258,0.044589889,0.622313417,0.000701754,0.012881808,0.509809567,0.001116096,0.110135952,33.12088659,1.246058569,1.452229338
114d0ffb4ec21541f8c93dd16f8f22f3,24,0.230928621,0.217308229,0.158057558,0.267646772,0.567769527,0.797616073,0.866535525,0.942278641,0.969874986,0.422796694,0.196383294,1.538473207,0.136871528,0.006595156,0.055550078,0.004027587,0.995525965,0.269431121,2.329588753,1.596051919,0.04494538,0.618419092,0.00070876,0.014010665,0.503669652,0.001096909,0.110399249,33.91543065,1.260837971,1.825589318
114d0ffb4ec21541f8c93dd16f8f22f3,24,0.230928621,0.217308229,0.158057558,0.267646772,0.567769527,0.797616073,0.866535525,0.942278641,0.969874986,0.422796694,0.196383294,1.538473207,0.136871528,0.006595156,0.055550078,0.004027587,0.995525965,0.269431121,2.329588753,1.596051919,0.04494538,0.618419092,0.00070876,0.014010665,0.503669652,0.001096909,0.110399249,33.91543065,1.260837971,1.825589318
114d0ffb4ec21541f8c93dd16f8f22f3,24,0.230928621,0.217308229,0.158057558,0.267646772,0.567769527,0.797616073,0.866535525,0.942278641,0.969874986,0.422796694,0.196383294,1.538473207,0.136871528,0.006595156,0.055550078,0.004027587,0.995525965,0.269431121,2.329588753,1.596051919,0.04494538,0.618419092,0.00070876,0.014010665,0.503669652,0.001096909,0.110399249,33.91543065,1.260837971,1.825589318
f60f054279d469662fb0447f05e282f1,25,0.226668566,0.236788004,0.156485888,0.271376015,0.577007919,0.802075394,0.8775088,0.934307553,0.985165638,0.406680533,0.199732478,1.52943765,0.135631811,0.00673296,0.055859888,0.004142697,0.992373463,0.269379104,2.284369228,1.535248685,0.045202893,0.620170202,0.000712882,0.014369015,0.492431861,0.001099427,0.110139787,33.86293775,1.275245444,1.830770131
cc0a98ae30b0fecee7ef3c87714d1426,24,0.219161828,0.223623567,0.156441834,0.266836423,0.621289616,0.778173276,0.876124737,0.946658131,0.975236562,0.401230206,0.194729101,1.530132337,0.136349046,0.006668024,0.055346954,0.003638047,0.970160645,0.274136328,2.279104599,1.624336599,0.044894061,0.621769969,0.000723806,0.01295854,0.506569742,0.001094665,0.109521495,33.52244779,1.288327233,1.731297084
6d3dca26853dde3feadee31b08d89bc3,24,0.24418236,0.15446043,0.158763948,0.30955664,0.497703332,0.8066106,0.907474032,0.911495949,0.958907457,0.454152792,0.197846305,1.516217591,0.129320629,0.006710484,0.057699184,0.004366606,0.997298343,0.271682557,2.145832069,1.31602139,0.046629904,0.610772358,0.000649655,0.015336498,0.508205069,0.001128212,0.110916836,33.31491703,1.218511488,1.377997661
ba059a026639e26c0bf40c5758453c47,24,0.277800498,0.137859263,0.158647232,0.248337176,0.680702961,0.834709749,0.899909905,0.841750442,0.971155632,0.441544997,0.195678639,1.385974999,0.126208901,0.006825169,0.058067208,0.004890056,1.099575398,0.279717175,2.471018294,1.416898078,0.045813417,0.612931542,0.000748732,0.015134169,0.449823657,0.001110741,0.110726245,31.89723063,1.372475796,2.152214498
