uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
d234a3a08830a67598429f2aef9748f6,34,4.263005816,1.569785964,2.137672755,0.342030301,1.359457727,26.49922882,0.106921123,0.245004335,0.963224995,0.488692599,0.951068972,0.955105403,0.937840854,0.960677347,0.080384446,1.177279195,0.155140045,0.00680859,0.056240393,0.013844189,0.988054017,0.377521166,1.198618761,1.883104394,0.04632811,0.603178461,0.000688129,0.002436613,0.948851197,0.00111745,0.783647735,0.110213241,0.328271614
2315ea3352cf47db36a3deef9a1b5939,34,4.264060818,1.561880276,2.142641689,0.335672886,1.353775594,26.4372568,0.105964314,0.263150352,0.946169728,0.49324845,0.956434392,0.961371527,0.939265038,0.964812647,0.080146019,1.169150867,0.155041464,0.00684328,0.055259493,0.01384916,1.000156797,0.374668023,1.205657075,1.842251539,0.046219866,0.604521881,0.000712335,0.00339175,0.949126538,0.001110886,0.785655051,0.109780822,0.424098802
9040e2b072bb0b9a8005cb8db0fa5ff1,34,4.285124303,1.558278757,2.125847764,0.333210166,1.347014156,26.48820546,0.106578856,0.252659996,0.945685138,0.494571536,0.952518358,0.959656544,0.937745603,0.962580613,0.078590862,1.173813125,0.155003133,0.006834889,0.055603324,0.013787776,0.995471648,0.379147985,1.220463487,1.862271757,0.046117354,0.604083793,0.000725374,0.003369315,0.952440414,0.001113851,0.79054431,0.109714961,0.423085278
e6bad5ff58b15b606f6c8c59f0cd16a8,34,4.273708256,1.564316053,2.092114564,0.330846438,1.350660994,26.51773323,0.106904074,0.250309177,0.948841537,0.483998491,0.95917989,0.963535064,0.944960897,0.961777198,0.077698676,1.173170222,0.15546974,0.006852831,0.055206305,0.013743927,1.002507637,0.379526253,1.201252427,1.876855346,0.046072922,0.603695003,0.000726639,0.003521726,0.961189547,0.001111744,0.802785375,0.109754147,0.459622626
dfcd9d7b4e7cab5485e265d3c26ffcfe,34,4.275325044,1.559966572,2.096061646,0.326568965,1.349925173,26.56119664,0.10695755,0.243404372,0.945789175,0.487667264,0.956239891,0.964962734,0.943003132,0.964841997,0.077646581,1.170258833,0.155881443,0.006840579,0.055611774,0.013748226,0.998948152,0.381204619,1.194209035,1.878104298,0.046077234,0.603737721,0.000717776,0.003739223,0.95721619,0.001111617,0.808166092,0.109781468,0.437467853
a18cea6481b20961746a703b01d12130,34,4.266245115,1.553732442,2.10785885,0.333930323,1.341950809,26.44492495,0.107299788,0.237494833,0.940166141,0.490422199,0.956600015,0.968449914,0.941592401,0.964971095,0.077369995,1.17939553,0.155240511,0.006816584,0.055194304,0.013768274,0.994981862,0.385083959,1.212416786,1.888453614,0.046066866,0.603260795,0.000723857,0.003939058,0.959958295,0.001109607,0.80694458,0.109767585,0.438997785
ccce9e18af56b202b3b9ae0da4538d2f,34,4.270263697,1.569068969,2.102682231,0.335474822,1.346377869,26.3592338,0.108475,0.254100571,0.952702622,0.490225139,0.964145762,0.969682812,0.939947797,0.966935899,0.078032171,1.169996523,0.155311039,0.006800187,0.056055411,0.013681761,0.986491512,0.390125676,1.207904003,1.879475935,0.046173429,0.602789362,0.000718178,0.004139748,0.959380313,0.00111447,0.80459022,0.110019326,0.432659488
69e7dcbe683a89989325ce9ef9dba566,34,4.297326148,1.566916171,2.096178374,0.335608812,1.363884643,26.43525975,0.108824237,0.259237296,0.938474398,0.490872715,0.967213811,0.973656974,0.941336052,0.971313441,0.07929469,1.166284049,0.156253579,0.006802977,0.055524183,0.013607172,0.988450048,0.39163848,1.175990499,1.877603592,0.04622035,0.601345363,0.000717913,0.004323115,0.958453959,0.001108757,0.806669794,0.110025971,0.452653261
3182566880d3f7f6592090915bb9b4b1,34,4.308097114,1.565050075,2.104866365,0.338771379,1.375381503,26.38537591,0.108270585,0.256158291,0.947609402,0.487787924,0.963499705,0.971905455,0.942207619,0.973923962,0.079154132,1.174564839,0.156906596,0.006798763,0.055113329,0.013545549,0.984929642,0.394742853,1.167401955,1.87637592,0.046200808,0.600401529,0.000709713,0.004052899,0.9609446,0.001109123,0.809158847,0.10992503,0.409548431
908d3519f8b2b03f3c84bdd951568bf2,34,4.293714668,1.551919432,2.112057899,0.339131539,1.372768418,26.47776333,0.109650569,0.263187227,0.92481455,0.486353401,0.966038018,0.976071791,0.947252743,0.974265948,0.075774495,1.167519528,0.159121056,0.00682,0.056587143,0.013653499,0.982816419,0.386992038,1.129855951,1.897941743,0.046162934,0.600265242,0.000679344,0.00451985,0.948048663,0.001114073,0.797695463,0.109978296,0.349610888
